"","CD274-201","CD274-202","CD274-203","CD274-204","CD274-205","CNIH4-201","CNIH4-202","CNIH4-203","CNIH4-204","CNIH4-205","CNIH4-206","CNIH4-207","CNIH4-208"
"HOA7812A44",8.14405771324699,8.05282037165274,8.26863402604908,8.12968459141744,7.59247645124807,8.53663845228774,7.99429758940602,8.13740384920708,8.36789856014851,8.33291402517603,8.29328648494107,9.11515152272895,8.28739394325165
"HOA7812A43",7.84358909634523,7.9724204942434,7.98697027203321,7.98509329078152,7.63881924371571,8.23540179997034,7.7853066329681,8.31738138814753,8.00364752816461,8.17630497368009,8.21767878462261,7.82110514095775,7.98751823469358
"HOA7812A42",7.83158067817688,7.95152280877256,8.08777168300693,8.03453743295552,8.38266340693736,7.9438264393644,7.87101586972465,7.10157229046982,8.13159637027547,8.05235147249669,7.89861605142432,8.50018383756835,8.01224982471218
"HOA7812A41",8.25487642510765,8.45205860150077,8.38286498027343,8.64215619413778,7.94393438985066,8.67647907527636,8.35055788091126,7.9106258674069,8.61095498552994,8.25944965879742,8.46322873210991,7.82110514095775,8.19941218543843
"HOA7812A40",8.40189506375169,8.48417163444568,8.47152887496288,8.50157912162122,7.91611848230144,8.42745678207458,8.27624518713835,7.10157229046982,8.17434653326821,8.34351518565616,8.29768393126475,8.78520550264749,8.35813520748292
"HOA7812A39",7.33660086568291,7.55458977575376,7.59628401147376,7.59837710168316,7.88721209514681,7.92656531767164,7.10157229046982,7.10157229046982,7.81428180696704,8.15819112966118,7.85902099582753,7.10157229046982,7.96457743692846
"HOA7812A38",7.83761146592567,7.86680616737736,7.5734693045946,7.78744826209411,7.91611848230144,7.9690045106,8.05284450138487,7.76499130988345,8.00364752816461,8.09172524054535,8.07322429812401,7.10157229046982,8.13436101642458
"HOA7812A37",7.37286024188165,7.52366870974931,7.46775012979045,7.47970656630053,7.720759110069,7.84339417135877,7.10157229046982,7.10157229046982,7.81428180696704,7.91762337688514,8.06193341338167,7.10157229046982,7.91099397284252
"HOA7812A36",7.9738204698044,8.14704324060683,8.3026358309484,8.26497886067225,8.19971151200434,8.210840204743,8.10754415431288,7.10157229046982,8.03925956482527,8.12273381751964,8.30206175351806,7.82110514095775,8.1835803261864
"HOA7812A35",8.19538311546989,8.03338480204233,7.82819102475867,8.14668076210709,7.99670071284715,8.04003723229293,7.85288501859492,7.9106258674069,7.82365516960276,8.21922779702274,8.21529102765177,8.50018383756835,8.07097833545367
"HOA7812A34",7.92763948102017,7.75602413303687,7.67825863338161,7.73845041153182,7.63881924371571,7.84339417135877,7.72106713432065,7.10157229046982,7.85101536665206,7.9582142503225,7.99692067010369,7.10157229046982,7.97740538151665
"HOA7812A33",7.8254953975023,7.71445614951693,7.71496663270463,7.75992705158039,7.41294265429478,7.9690045106,8.41976449238886,7.10157229046982,8.05308220149303,7.99232792529921,7.97824072840953,7.82110514095775,7.9082111030832
"HOA7812A32",8.11515403523898,7.74178070686349,7.6969114941318,7.80077387562202,7.54107019687253,7.60736802846262,7.44059862180034,7.10157229046982,7.89434273241261,8.14250291291555,8.08159472846397,7.10157229046982,7.87395467299721
"HOA7812A31",7.10157229046982,7.41243439431924,7.10157229046982,7.45372971489054,7.10157229046982,7.68884815380738,7.44059862180034,7.10157229046982,7.88588664085206,7.98674450199413,7.73295699572362,7.82110514095775,7.9137663311773
"HOA7812A30",7.54006708050362,7.73581663842818,7.7324754915607,7.80733520873284,7.79254645471261,7.62187704488131,7.77505421702232,7.10157229046982,7.88588664085206,8.03353558252239,7.79295884482017,7.82110514095775,7.96973405001257
"HOA7812A29",7.71206659848951,7.74768619374026,7.96274905728987,7.79414554372822,7.97076534430497,8.0170501481997,7.54929579560159,8.23168273620822,7.74454312721223,7.94176391094847,8.03302038614547,8.6515904750037,7.79336754193869
"HOA7812A28",8.2218759111459,8.40603353824406,8.12897562245599,8.29776645335657,8.33125752229284,8.44726584512851,7.84363836329838,8.87984982685288,7.72307766852523,8.14621906473384,8.36756268258111,8.10912368493168,7.92475278453011
"HOA7812A27",7.77467037511706,7.85374352934443,7.89859673540504,7.88144648935457,7.720759110069,7.81330493211624,8.14005349867359,7.10157229046982,7.91913534315822,8.04404163413807,8.12226631407862,8.10912368493168,8.03624517972709
