gene
"SH3GLB1"
"CYP4F3"
"TREM1"
"BASP1"
"ACSL4"
"FCER1G"
"TMEM140"
"PLSCR1"
"RBM47"
"LILRA5"
"ABCA1"
"SPOPL"
"LPCAT2"
"APMAP"
"CCR2"
"NOD2"
"ALOX5AP"
"MS4A6A"
"CEBPD"
"ABHD5"
"B4GALT5"
"CEBPB"
"CD36"
"PGS1"
"WARS1"
"STX11"
"CPVL"
"IFITM3"
"HCG27"
"NCF1"
"RNF13"
"UBE2J1"
"GBP4"
"NCF4"
"ZFYVE16"
"SERPINB1"
"TNFSF13B"
"SLC40A1"
"MFSD14B"
"NBN"
"RNF144B"
"RALB"
"MCTP1"
"GLT1D1"
"APBB1IP"
"FES"
"SECTM1"
"DGAT2"
"MPZL3"
"IL13RA1"
"CCR1"
"SIPA1L1"
"SLC8A1"
"IKZF3"
"IFRD1"
"FKBP5"
"QPCT"
"SPOCK2"
"METTL9"
"SULT1B1"
"TSPO"
"IL1RAP"
"ZNF267"
"CAPZA2"
"ZAP70"
"ACO1"
"PHF21A"
"CHSY1"
"PROK2"
"LAP3"
"FLOT1"
"UBE2D1"
"SOCS3"
"TRAFD1"
"EGLN1"
"VNN3"
"MARCKS"
"SNX10"
"PFKFB4"
"PLAUR"
"CD300E"
"UBE2L6"
"TREML2"
"HLA_H"
"SCARF1"
"MBOAT2"
"RP2"
"HAL"
"FGD4"
"PSTPIP2"
"RGS18"
"FAS"
"ETS2"
"KLHL2"
"SP140"
"FCGR2C"
"KIF1B"
"MKNK1"
"DOCK4"
"SORT1"
"FCGR1A"
"TRIM69"
"IL1R2"
"CDKN2D"
"IPMK"
"SKAP2"
"ATG3"
"ZNF117"
"PIM3"
"LRG1"
"NCF1C"
"REPS2"
"DNAJA1"
"PPP4R2"
"LIPA"
"CC2D2A"
"BST1"
"TRIM21"
"ERV3_1"
"NQO2"
"ATP8B2"
"USP10"
"DSE"
"ASPH"
"IL1B"
"SRPK1"
"NRBF2"
"DSC2"
"LMNB1"
"LMTK2"
"SHOC1"
"TAP2"
"SIPA1L2"
"NMI"
"CD274"
"TDP2"
"MAP2K6"
"WLS"
"LIN7A"
"IL18RAP"
"NLRC4"
"PADI4"
"CLEC4E"
"CTBS"
"NPC2"
"AIF1"
"MRVI1"
"SLC22A15"
"NLRC3"
"DUSP3"
"GBP3"
"WDFY1"
"PLCG1"
"CD59"
"LTB4R"
"KRT23"
"GCH1"
"KYNU"
"F5"
"NAIP"
"ADM"
"LRRC4"
"SLC22A4"
"DHRS9"
"TLR5"
"TMEM260"
"S100A12"
"HMGB2"
"TFEC"
"NCF1B"
"HCAR2"
"FCGR1B"
"PLIN3"
"BST2"
"CKAP4"
"PAPSS1"
"ANXA3"
"SQOR"
"CLEC2B"
"BRI3"
"PDE5A"
"CARD16"
"FCAR"
"HSPA7"
"GADD45B"
"SLAMF7"
"APOL1"
"TMEM185B"
"TAFA2"
"UPP1"
"ZNF831"
"IL18R1"
"SAMSN1"
"EXOC6"
"TNFAIP6"
"C19orf38"
"SESTD1"
"NT5C3A"
"SPATA20P1"
"KREMEN1"
"FLNB"
"HPSE"
"ACSS3"
"GASK1B"
"LHFPL2"
"FAM157A"
"DISC1"
"CNIH4"
"TRPM6"
"CSRNP1"
"PRRG4"
"PTGS2"
"CDK14"
"F2RL1"
"CCDC71L"
"ZNF438"
"RAB33B"
"CYP1B1"
"PHTF1"
"KIAA0825"
"NFIL3"
"EPB41L3"
"SLC37A3"
"MMP9"
"CST7"
"LACTB"
"AP001434.1"
"AL356274.2"
"P2RY14"
"POLB"
"FAM200B"
"TGFA"
"MXD3"
"IL1RN"
"TRIB1"
"CMTM2"
"GYG1"
"PARP15"
"LINC01410"
"HCAR3"
"RTEL1P1"
"PSME2"
"CSNK1A1L"
"LRRK2_DT"
"TIFA"
"GPAT3"
"TRAF1"
"RAB32"
"AC107959.4"
"AC215522.2"
"BIN1"
"P2RY10"
"H3P6"
"AL136171.2"
"FCRL3"
"MAP3K20"
"AC099811.1"
"IDI1"
"PSMA4"
"GPR27"
"ERLIN1"
"CEACAM1"
"AC072022.2"
"RNF175"
"NFXL1"
"MTARC1"
"IKBIP"
"AIM2"
"OR52K3P"
"VNN1"
"PFKFB2"
"CYSTM1"
"AC244453.2"
"MTHFD2"
"GPR160"
"CEP19"
"ERI1"
"ST3GAL4"
"CLEC4D"
"LRRC37A4P"
"ALDH1A2"
"KCNH7"
"TMEM272"
"HAUS4"
"CASP5"
"AC099343.4"
"FBXO6"
"CACNA1E"
"MGAM2"
"ZNF230"
"SMARCD3"
"PVT1"
"DDAH2"
"LINC02432"
"RGL4"
"VSIG4"
"RTP4"
"AC007336.1"
"CHMP5"
"RAB24"
"ARHGAP24"
"FUT7"
"TLR7"
"DHRS12"
"FBXL13"
"FCMR"
"ST20"
"CD3G"
"TXN"
"MANSC1"
"TLR10"
"CCR4"
"AC243772.2"
"SGMS2"
"LSS"
"FCGR1CP"
"AC099343.3"
"MILR1"
"Z95152.1"
"VPS9D1"
"DHRS13"
"DRAM1"
"B3GNT5"
"WDFY3_AS2"
"AFF2"
"LINC02362"
"BCL2A1"
"IL15"
"SLC26A8"
"ETV7"
"CARD6"
"STK3"
"GALM"
"BTNL8"
"ARRDC4"
"AL157394.3"
"HLX"
"NAMPTP1"
"ANKRD22"
"STARD9"
"PASK"
"TNFRSF25"
"AC004540.2"
"AC003991.1"
"SLC8A1_AS1"
"AC007342.3"
"LINC00649"
"SETBP1"
"STMN3"
"AC123567.2"
"AC084871.2"
"S1PR3"
"OR52K1"
"AC023157.3"
"AC007728.3"
"HGF"
"RAB20"
"FAM86B3P"
"AC007000.4"
"AL353807.5"
"LINC02471"
"ABHD12B"
"AL132780.1"
"AC084871.1"
"TATDN2P2"
"EPB41L5"
"OSM"
"AC009927.1"
"ROPN1L"
"SND1_IT1"
"PRDM5"
"ZDHHC4P1"
"SHTN1"
"ECHDC2"
"ENOSF1"
"AUTS2"
"VAMP5"
"CSTA"
"GOLGA5P1"
"SPATA1"
"LINC01232"
"GSEC"
"LINC01127"
"ITGA1"
"AC005050.3"
"PLBD1_AS1"
"DPYD_AS2"
"AC005280.2"
"PDSS1P1"
"AC092746.1"
"FLVCR2"
"TMEM144"
"FAM157B"
"BCAT1"
"PI3"
"CA4"
"MTCO3P23"
"SEMA4C"
"TET2_AS1"
"LINC02656"
"HNMT"
"RNF217"
"HECW2"
"C3AR1"
"MARCHF3"
"AC107068.1"
"AC069528.2"
"AC004917.1"
"CTSL"
"MPZL2"
"IFI30"
"AC066616.2"
"SMCO4"
"LY96"
"AL162377.1"
"AL359762.3"
"AL160272.1"
"AOAH_IT1"
"CARD17"
"AC009432.2"
"TG"
"BX539320.1"
"AC083862.3"
"H2BP2"
"MSRB2"
"FRMD3"
"AC114878.2"
"CNTLN"
"FAM241A"
"AIRN"
"AL391825.1"
"GK_AS1"
"GRB10"
"AC069549.2"
"ZNF827"
"NUDT16P1"
"ADCY4"
"CD177"
"BMX"
"ASGR1"
"AL162253.2"
"AL031777.2"
"AL137789.1"
"AC009506.2"
"LIPN"
"MARCO"
"MTND5P32"
"MSR1"
"AC084290.1"
"AC092620.1"
"RBMS1P1"
"AC096667.1"
"AL390066.2"
"ZSCAN18"
"AC005280.1"
"RPS2P36"
"AC023813.2"
"BATF2"
"TREML4"
"AC138409.1"
"GUSBP1"
"C3orf86"
"C1QA"
"SLPI"
"C5"
"GALNT14"
"INSL6"
"HP"
"MED12L"
"AL359962.3"
"AC112496.1"
"LHFPL5"
"AC007278.1"
"NAIPP2"
"KCNN4"
"HSPA1B"
"AC066613.1"
"LSMEM1"
"NFE4"
"DDX10P1"
"AC091814.1"
"OPLAH"
"VSIG10"
"TIMM10"
"TDRD9"
"CAPNS2"
"GBP6"
"AL032821.1"
"MRVI1_AS1"
"CCRL2"
"LRRC6"
"NME8"
"AL391832.2"
"ASPHD2"
"GK3P"
"DDIAS"
"AC099811.4"
"SLC9A7P1"
"LINC00211"
"TLE1"
"STOML1"
"SNORD89"
"SMPDL3A"
"TTC9"
"Z94721.1"
"AL391903.1"
"AL662844.3"
"ALG1L13P"
"AC007278.2"
"CALHM6"
"NSUN7"
"TNFRSF9"
"AC114778.2"
"ST6GALNAC3"
"SHISAL2A"
"LINC00677"
"SUMO2P19"
"HDC"
"UBTD1"
"AC005632.3"
"SCN9A"
"BDH1"
"HOTAIRM1"
"RNF157"
"FLT3"
"KIAA0319"
"KCNJ2_AS1"
"AC116353.6"
"MTCO3P11"
"IFNK"
"MTND5P24"
"AL049634.1"
"AKAP12"
"AC012349.1"
"MKNK1_AS1"
"AC024475.1"
"AL391832.3"
"CYP1B1_AS1"
"GNG12_AS1"
"ZNF469"
"DOCK4_AS1"
"CLEC5A"
"LINC01506"
"MARCHF9"
"PLD4"
"GBAP1"
"AC092620.2"
"NDUFB3"
"GOLGA7B"
"EFCAB2"
"HORMAD1"
"AL096816.1"
"CDHR3"
"DACH1"
"MPZ"
"RBP7"
"AL590385.2"
"FAM151B"
"MTCYBP23"
"IL2RA"
"AC018644.1"
"AC040160.1"
"AC104763.1"
"SLITRK4"
"GBP1P1"
"MME_AS1"
"AC011346.1"
"PAIP2B"
"AC092692.1"
"TNFRSF12A"
"AC100763.1"
"AC008555.2"
"MTND3P12"
"LINC01094"
"NETO2"
"TMEM252"
"AC104695.4"
"ST6GALNAC6"
"AP001962.1"
"TTC26"
"AC006160.1"
"C1QB"
"MTND4P22"
"RMI2"
"LINC00862"
"HLA_G"
"MS4A4A"
"MGST1"
"CSNK1G2P1"
"MTCO3P5"
"ZNF749"
"AL390774.2"
"IER3"
"LRRN1"
"MCF2L2"
"AL031123.3"
"AC130371.2"
"FN1"
"AC245884.11"
"CFAP58"
"AL359762.1"
"RAB39A"
"PDCD1LG2"
"MCEMP1"
"CPA3"
"MIR3945HG"
"IL12RB2"
"IFNLR1"
"AC078886.1"
"SOCS1"
"AC069549.1"
"CCDC102A"
"AL031123.1"
"GPR55"
"AC002456.1"
"AC080023.1"
"CXCL1"
"AP001269.4"
"AP001266.2"
"AL445524.1"
"LINC02555"
"C4BPA"
"FAM83G"
"RPL23AP30"
"LINC02033"
"RAB36"
"ECHDC3"
"MTCYBP11"
"AC073342.2"
"CORIN"
"APOL4"
"MTND5P28"
"AC008114.1"
"TRIM9"
"AC010173.1"
"AC013437.2"
"AC003080.1"
"AL356417.3"
"SLC7A11"
"AC093311.1"
"AC007919.1"
"AC022784.5"
"AC015912.3"
"HOXA2"
"AC019254.1"
"GABRR2"
"SMAD1"
"AL078600.1"
"PTGES3P1"
"GUCY2C"
"MTND4P26"
"AC072022.1"
"CKAP2LP1"
"MS4A2"
"RPS12P24"
"AC138951.1"
"LINC02631"
"AC079781.5"
"SIRPG"
"AC011816.1"
"AC021483.2"
"PIK3R3"
"AC018755.5"
"LINC02273"
"BASP1_AS1"
"SEPTIN4"
"CLEC6A"
"ID3"
"LTK"
"LINC02363"
"MYO10"
"DNM1P47"
"AC114878.1"
"MTCO2P5"
"LINC01503"
"NDRG2"
"LINC02860"
"GCNT1P3"
"CADM4"
"U62317.4"
"AC026333.3"
"RPL7P18"
"AL691447.2"
"CTSF"
"AL033519.5"
"NSG1"
"AL133517.1"
"ITGB8"
"RNU6_1005P"
"ATF3"
"LINC01238"
"TMEM252_DT"
"NOXA1"
"OR7E100P"
"GTF2H2"
"AC093752.2"
"LRRC17"
"ANO5"
"AL356750.1"
"MTATP6P11"
"ANKRD34B"
"CRIP2"
"AL031123.2"
"SIRPD"
"RORC"
"AC093010.1"
"P4HA2"
"AC084871.4"
"AL596214.1"
"CLEC1A"
"SIGLEC5"
"CATSPER2"
"GK_IT1"
"LINC01136"
"AC098869.2"
"AC012569.1"
"IL24"
"AC007877.1"
"CFAP58_DT"
"AC122718.1"
"CLIC5"
"PLEKHB1"
"AC135626.1"
"LINC00968"
"SLC5A10"
"AC073850.1"
"FGF13"
"AL035661.1"
"AC020703.1"
"SUMO1P1"
"AC004069.1"
"AC073172.1"
"CLEC9A"
"LINC01220"
"SLC1A3"
"ZSWIM5"
"SCAT8"
"FOLR2"
"LINC02217"
"ZBED2"
"AL078604.2"
"RN7SKP296"
"AL024508.1"
"PPIAP29"
"PNMA3"
"TAS2R40"
"AC133919.1"
"LINC02669"
"ADAMTS17"
"AC107068.2"
"AC084337.1"
"AC009506.1"
"TUB"
"MIR4477B"
"ALOX15P1"
"AC132872.5"
"MIR9_3HG"
"AC018634.1"
"PIGFP2"
"TMEM25"
"LOXL1"
"LINC00665"
"LINC02520"
"ARNTL2"
"RPS29P14"
"RNA5SP39"
"RN7SL368P"
"AC241377.5"
"AC003957.1"
"AL359532.1"
"CFAP54"
"GNG10"
"DCAF4L1"
"NLRP9P1"
"NECAB1"
"U62317.1"
"RNU6_1082P"
"GCSAML"
"GRASP"
"AL354977.2"
"AC104083.1"
"LINC02751"
"AL132986.1"
"MTND6P5"
"NINL"
"AC108066.2"
"AC106865.1"
"AC091117.3"
"TJP3"
"AC096970.1"
"AC099550.1"
"AC079209.1"
"AC098679.6"
"AL137792.1"
"AC016245.1"
"AC027601.6"
"AL049634.2"
"C16orf74"
"TRBJ1_6"
"TLR8_AS1"
"ZNF528_AS1"
"AP001042.1"
"AC012368.2"
"AC006517.6"
"RNU7_13P"
"GIPR"
"THEM5"
"LINC02458"
"AC079926.1"
"LINC02694"
"AIRE"
"MCTP1_AS1"
"CA8"
"TTLL7"
"KCNMA1"
"NAA80"
"AL355490.2"
"SDSL"
"LINC01513"
"MIR3605"
"PRSS2"
"TTC24"
"C1orf115"
"AC136475.7"
"TNFRSF18"
"AC004974.1"
"RPL10P19"
"TRBJ2_3"
"CAPN12"
"AL591043.2"
"C2"
"HMGA2_AS1"
"TNFSF15"
"TRBJ1_3"
"MAB21L3"
"LINC02596"
"TOX4P1"
"AHNAK2"
"WNT10B"
"OR52B3P"
"PLSCR2"
"TRBJ2_7"
"OLFM1"
"AL354877.1"
"PPP1R2P1"
"MAP3K20_AS1"
"AL358334.3"
"ENPP3"
"LINC01237"
"AL031777.1"
"PRSS1"
"FAM86HP"
"MTCO3P43"
"AL353759.1"
"AL022313.2"
"GADD45G"
"GPR84"
"AL138995.1"
"AL137139.2"
"AC099336.3"
"MTND3P9"
"C2CD4D_AS1"
"ASPDH"
"LINC01801"
"H1_6"
"KRT72"
"AC008555.1"
"AC097721.1"
"AL034550.2"
"AC092745.4"
"BX842570.1"
"AC026362.2"
"DOCK1"
"AC132938.7"
"C14orf132"
"UVRAG_DT"
"WASF1"
"AC244453.3"
"RN7SL124P"
"SIGLEC6"
"ALMS1P1"
"NUDT19P5"
"AC003077.1"
"CCR8"
"APBB2"
"LINC02705"
"HAVCR1"
"RPSAP75"
"RPS29P12"
"CCNG1P1"
"DOC2GP"
"LRRC56"
"AC135626.2"
"C2CD4D"
"AC106028.3"
"SDC2"
"SCN1A_AS1"
"AC011092.2"
"NAIPP1"
"AC127521.1"
"AL138694.1"
"LILRA4"
"AC090772.2"
"PTPRB"
"LIPM"
"RNU6_331P"
"AC098679.2"
"LINC00565"
"FLNB_AS1"
"RNF157_AS1"
"AC004900.1"
"AC253572.1"
"AK4"
"MTATP6P26"
"AC004231.1"
"KRT73"
"ADAMTS4"
"FAM153CP"
"AL021393.1"
"AL157762.1"
"LINC01093"
"AP003117.2"
"AL359962.2"
"AC007556.1"
"KL"
"FFAR3"
"AP000240.1"
"CLRN1"
"MIR4772"
"AC009226.1"
"AC010542.4"
"FBLN2"
"OVGP1"
"AC106028.4"
"CR786580.1"
"MTCO2P33"
"MROCKI"
"AC136297.1"
"TRBJ1_4"
"MIR617"
"PDE9A"
"ADAM1B"
"LIPC_AS1"
"BMP2KL"
"TRBJ1_2"
"NRN1"
"AC110992.1"
"AL357143.1"
"RPS3AP32"
"DPRXP2"
"CAV2"
"RPL34_AS1"
"AC093909.6"
"ZNF876P"
